Concentration,lat,lgn,Date
1868.69,0.352701,32.583923,5/22/2017
469.96,0.352708,32.583904,5/22/2017
751.05,0.352698,32.583866,5/22/2017
1165.9,0.352699,32.583866,5/22/2017
1254.08,0.352717,32.583866,5/22/2017
3094.65,0.352713,32.583854,5/22/2017
1264.18,0.352715,32.583873,5/22/2017
877.33,0.35271,32.583866,5/22/2017
847.02,0.352694,32.583881,5/22/2017
837.17,0.352696,32.583896,5/22/2017
1249.66,0.352691,32.583908,5/22/2017
1214.18,0.352713,32.583904,5/22/2017
833.47,0.352719,32.583892,5/22/2017
953.71,0.352731,32.583892,5/22/2017
823.96,0.352752,32.583896,5/22/2017
2426.62,0.352752,32.583904,5/22/2017
941.08,0.352758,32.5839,5/22/2017
821.37,0.352744,32.583919,5/22/2017
713.94,0.352727,32.583885,5/22/2017
637.17,0.352719,32.583889,5/22/2017
71.1,0.352709,32.583885,5/22/2017
875.2,0.352711,32.583873,5/22/2017
1580.18,0.352725,32.583885,5/22/2017
2712.14,0.352714,32.583889,5/22/2017
1803.74,0.352694,32.5839,5/22/2017
940.63,0.352684,32.583908,5/22/2017
370.38,0.352703,32.5839,5/22/2017
694.85,0.352699,32.583892,5/22/2017
1659.65,0.352744,32.583908,5/22/2017
1863.76,0.352717,32.5839,5/22/2017
1764.98,0.352736,32.583923,5/22/2017
1136.46,0.352724,32.583908,5/22/2017
3436,0.352742,32.583896,5/22/2017
852.6,0.352741,32.583873,5/22/2017
1876.59,0.352713,32.583854,5/22/2017
1094.09,0.352677,32.58385,5/22/2017
968.87,0.352689,32.583854,5/22/2017
1483.53,0.352699,32.583862,5/22/2017
1226.59,0.352745,32.583885,5/22/2017
198.12,0.352741,32.5839,5/22/2017
361.48,0.352751,32.583896,5/22/2017
2408.18,0.352764,32.583877,5/22/2017
440.33,0.352747,32.583892,5/22/2017
168.71,0.352758,32.583877,5/22/2017
838.03,0.352761,32.583881,5/22/2017
492.67,0.352731,32.583892,5/22/2017
72.16,0.352754,32.5839,5/22/2017
1430.6,0.352765,32.583892,5/22/2017
37.85,0.352744,32.583881,5/22/2017
1032.02,0.352749,32.583862,5/22/2017
2783.89,0.352736,32.583873,5/22/2017
619.17,0.352747,32.583862,5/22/2017
2108.71,0.352742,32.583877,5/22/2017
2805.45,0.352732,32.583866,5/22/2017
633.93,0.35274,32.583877,5/22/2017
3044.04,0.352737,32.583892,5/22/2017
763.83,0.352718,32.583892,5/22/2017
187.12,0.352741,32.583885,5/22/2017
2880.71,0.352726,32.583908,5/22/2017
2493.83,0.352731,32.5839,5/22/2017
1043.52,0.35273,32.5839,5/22/2017
2043.23,0.352744,32.583908,5/22/2017
1076.52,0.352712,32.583934,5/22/2017
1005.32,0.352722,32.583923,5/22/2017
1295.52,0.352718,32.583889,5/22/2017
0.62,0.35272,32.583885,5/22/2017
1048.93,0.352711,32.583885,5/22/2017
0.62,0.352736,32.583866,5/22/2017
2300.14,0.352749,32.583877,5/22/2017
2131.03,0.352736,32.583885,5/22/2017
0.62,0.352732,32.5839,5/22/2017
0.62,0.352722,32.583911,5/22/2017
2036.04,0.352734,32.583908,5/22/2017
0.62,0.352706,32.583919,5/22/2017
1933.94,0.352696,32.583908,5/22/2017
2209.87,0.352686,32.583919,5/22/2017
3020.37,0.352704,32.583908,5/22/2017
3639.21,0.352694,32.583927,5/22/2017
829.77,0.352726,32.583896,5/22/2017
3119.06,0.352793,32.5839,5/22/2017
3851.78,0.352788,32.583881,5/22/2017
651.75,0.352742,32.583889,5/22/2017
2158.29,0.352216,32.583602,5/22/2017
1155.83,0.351539,32.583129,5/22/2017
1167.83,0.351679,32.581596,5/22/2017
247.76,0.351987,32.580844,5/22/2017
868.17,0.352255,32.580387,5/22/2017
418.39,0.358103,32.576969,5/22/2017
2692.46,0.360203,32.577274,5/22/2017
699.84,0.360748,32.580696,5/22/2017
2664.61,0.364478,32.58435,5/22/2017
907.75,0.362559,32.588249,5/22/2017
2762.7,0.368316,32.594131,5/22/2017
1577.83,0.3654,32.59822,5/22/2017
2898.78,0.361505,32.598701,5/22/2017
739.88,0.357062,32.598594,5/22/2017
2487.04,0.352359,32.597793,5/22/2017
719.38,0.352236,32.596622,5/22/2017
310.17,0.352857,32.590843,5/22/2017
1722.22,0.352692,32.587268,5/22/2017
1508.64,0.35426,32.587234,5/22/2017
905.69,0.356711,32.585945,5/22/2017
2078.96,0.357287,32.584835,5/22/2017
2036.59,0.357241,32.584678,5/22/2017
879.46,0.357254,32.584697,5/22/2017
1507.04,0.357271,32.58469,5/22/2017
1833.58,0.357271,32.584671,5/22/2017
1187.34,0.357278,32.584678,5/22/2017
1825.28,0.357268,32.584686,5/22/2017
2480.18,0.357283,32.584678,5/22/2017
2554.22,0.357285,32.584671,5/22/2017
630.99,0.357304,32.584667,5/22/2017
1396.94,0.357321,32.584651,5/22/2017
3465.55,0.357299,32.584663,5/22/2017
1207.95,0.357296,32.584663,5/22/2017
1424.72,0.35729,32.584663,5/22/2017
746.48,0.357293,32.584674,5/22/2017
2445.4,0.357313,32.584667,5/22/2017
2452.53,0.357293,32.584674,5/22/2017
2547.66,0.35729,32.584671,5/22/2017
2164.78,0.357289,32.584655,5/22/2017
538.16,0.358103,32.584606,5/22/2017
2593.04,0.358001,32.584156,5/22/2017
469.88,0.357999,32.584159,5/22/2017
2203.19,0.357905,32.584175,5/22/2017
700.67,0.357909,32.584159,5/22/2017
394.59,0.357916,32.584144,5/22/2017
2536.17,0.357915,32.584156,5/22/2017
192.91,0.357904,32.584136,5/22/2017
0.62,0.357883,32.584148,5/22/2017
2006.1,0.357879,32.584163,5/22/2017
999.02,0.357884,32.584182,5/22/2017
2010.8,0.357888,32.584201,5/22/2017
2382.04,0.357885,32.584178,5/22/2017
884.31,0.357883,32.584182,5/22/2017
780.38,0.357882,32.584167,5/22/2017
2448.87,0.357887,32.584159,5/22/2017
3147.4,0.357892,32.584175,5/22/2017
2322.12,0.357913,32.584186,5/22/2017
649.84,0.357906,32.584186,5/22/2017
0.62,0.357899,32.584171,5/22/2017
2400.33,0.357894,32.584175,5/22/2017
696.18,0.357896,32.584171,5/22/2017
1907.98,0.357878,32.584194,5/22/2017
2930.36,0.357697,32.584438,5/22/2017
1444.86,0.357704,32.584491,5/22/2017
89.57,0.357665,32.584529,5/22/2017
184.13,0.357664,32.58451,5/22/2017
60.71,0.35766,32.584476,5/22/2017
1131.28,0.357655,32.584552,5/22/2017
322.92,0.357646,32.584491,5/22/2017
378.53,0.357665,32.584495,5/22/2017
327.25,0.357646,32.584503,5/22/2017
852.14,0.357669,32.584518,5/22/2017
1485.06,0.357653,32.584529,5/22/2017
801.33,0.357624,32.584552,5/22/2017
2189.55,0.357624,32.584548,5/22/2017
0.62,0.357669,32.584522,5/22/2017
2341.25,0.357656,32.584533,5/22/2017
206.12,0.357658,32.584506,5/22/2017
1151.61,0.357633,32.584499,5/22/2017
65.42,0.357653,32.584518,5/22/2017
2038.66,0.357675,32.584529,5/22/2017
5328.37,0.357668,32.584518,5/22/2017
0.62,0.357674,32.584495,5/22/2017
0.62,0.357674,32.584495,5/22/2017
1243.44,0.357652,32.584548,5/22/2017
2433.84,0.357635,32.584575,5/22/2017
2525.8,0.357657,32.584545,5/22/2017
4897.11,0.357648,32.584552,5/22/2017
2518.74,0.357659,32.584533,5/22/2017
5334.12,0.357674,32.58451,5/22/2017
3516.78,0.357654,32.584541,5/22/2017
3761.17,0.357665,32.584514,5/22/2017
5496.46,0.35767,32.584522,5/22/2017
4812.87,0.357648,32.584518,5/22/2017
2554.76,0.35765,32.584529,5/22/2017
6540.77,0.357668,32.584514,5/22/2017
3856.06,0.35766,32.584529,5/22/2017
5009.22,0.357641,32.584548,5/22/2017
2667.21,0.357726,32.584465,5/22/2017
3607.12,0.35766,32.584533,5/22/2017
4601.12,0.35767,32.584514,5/22/2017
3342.11,0.357664,32.584514,5/22/2017
4440.6,0.357667,32.584514,5/22/2017
3573.23,0.35763,32.584518,5/22/2017
3125.52,0.357638,32.584495,5/22/2017
4309.45,0.357649,32.584583,5/22/2017
5074.67,0.357659,32.584506,5/22/2017
5714.29,0.357662,32.584506,5/22/2017
2035.54,0.357668,32.584499,5/22/2017
6047.84,0.357653,32.584484,5/22/2017
5030.93,0.357675,32.584491,5/22/2017
422.32,0.357675,32.584484,5/22/2017
948.64,0.35767,32.584514,5/22/2017
243.91,0.357654,32.584476,5/22/2017
866,0.357655,32.584548,5/22/2017
463.57,0.35766,32.58451,5/22/2017
828.14,0.357668,32.584522,5/22/2017
965.05,0.357666,32.584499,5/22/2017
932.42,0.357662,32.584465,5/22/2017
961.55,0.357661,32.584484,5/22/2017
797.82,0.357661,32.58448,5/22/2017
654.03,0.357651,32.584487,5/22/2017
3633.72,0.357673,32.584491,5/22/2017
305.32,0.357667,32.584491,5/22/2017
424.77,0.357674,32.584465,5/22/2017
31.12,0.357667,32.584468,5/22/2017
951.76,0.357667,32.584503,5/22/2017
1973.82,0.357671,32.584472,5/22/2017
0.62,0.357658,32.584495,5/22/2017
846.18,0.35765,32.584487,5/22/2017
511.53,0.357676,32.584423,5/22/2017
327.61,0.357661,32.58448,5/22/2017
792.44,0.357653,32.584495,5/22/2017
2489.63,0,0,0/0/0
600.72,0.357959,32.584186,5/23/2017
824.54,0.356399,32.586254,5/23/2017
795.66,0.355096,32.588317,5/23/2017
2035.35,0.355055,32.588306,5/23/2017
44.16,0.355037,32.588306,5/23/2017
1411.64,0.355036,32.588306,5/23/2017
697.26,0.352164,32.585079,5/23/2017
101.7,0.351701,32.581527,5/23/2017
238.71,0.349562,32.579181,5/23/2017
144.15,0.343673,32.581855,5/23/2017
2112.06,0.339456,32.584819,5/23/2017
456.52,0.339161,32.585124,5/23/2017
0.62,0.337802,32.586246,5/23/2017
0.62,0.337805,32.586238,5/23/2017
0.62,0.337877,32.586235,5/23/2017
0.62,0.337851,32.586193,5/23/2017
2200.87,0.337894,32.586246,5/23/2017
1409.85,0.337898,32.586238,5/23/2017
521.3,0.339339,32.584587,5/23/2017
2767.58,0.337091,32.581253,5/23/2017
168.4,0.332427,32.576206,5/23/2017
458.7,0.331586,32.575103,5/23/2017
1279.73,0.331591,32.574752,5/23/2017
1016.31,0.33233,32.574172,5/23/2017
693.85,0.331661,32.573944,5/23/2017
582.43,0.331601,32.57402,5/23/2017
827.17,0.331567,32.573959,5/23/2017
1033.4,0.331614,32.573932,5/23/2017
805.31,0.331598,32.573947,5/23/2017
817.27,0.33156,32.573867,5/23/2017
1053.24,0.331558,32.573818,5/23/2017
495.86,0.331597,32.573856,5/23/2017
785,0.331606,32.573852,5/23/2017
2237.79,0.331645,32.573886,5/23/2017
427.56,0.331624,32.573883,5/23/2017
692.79,0.331577,32.57389,5/23/2017
995.09,0.331549,32.573856,5/23/2017
949.92,0.331611,32.573852,5/23/2017
842.99,0.331613,32.573867,5/23/2017
449.45,0.331629,32.573871,5/23/2017
2212.1,0.331632,32.57389,5/23/2017
2708.07,0.331741,32.57468,5/23/2017
3632.96,0.331743,32.574691,5/23/2017
547.82,0.331787,32.574684,5/23/2017
139.43,0.331761,32.574687,5/23/2017
2898.91,0.331731,32.574691,5/23/2017
1130.69,0.333812,32.576709,5/23/2017
3881.04,0.344703,32.576835,5/23/2017
389.74,0.344691,32.576843,5/23/2017
993.81,0.346944,32.577892,5/23/2017
338.3,0.346514,32.578819,5/23/2017
1522.33,0.346535,32.578823,5/23/2017
954.76,0.346539,32.578826,5/23/2017
1176.6,0.346525,32.578826,5/23/2017
796.01,0.346528,32.57883,5/23/2017
1487.01,0.346533,32.578811,5/23/2017
935.75,0.346527,32.578807,5/23/2017
2600.44,0.344689,32.576866,5/23/2017
3258.78,0.343144,32.576698,5/23/2017
689.85,0.34318,32.576728,5/23/2017
815.07,0.34464,32.576835,5/23/2017
5998.37,0.356469,32.582744,5/23/2017
1198.62,0.356477,32.58274,5/23/2017
1873.89,0.356463,32.582782,5/23/2017
1337.62,0.356447,32.582786,5/23/2017
1149.86,0.35647,32.582775,5/23/2017
2330.33,0.356456,32.582763,5/23/2017
513.18,0.356496,32.582721,5/23/2017
873.83,0.356495,32.582706,5/23/2017
742.68,0.356918,32.582923,5/23/2017
2511.18,0.356935,32.582908,5/23/2017
3678.82,0.356888,32.582889,5/23/2017
1425.86,0.356862,32.582874,5/23/2017
1167.46,0.3569,32.582855,5/23/2017
2652.41,0.356898,32.582839,5/23/2017
2832.11,0.356935,32.582862,5/23/2017
4112.97,0.356919,32.582878,5/23/2017
4972.71,0.35693,32.582885,5/23/2017
1218.73,0.356936,32.582904,5/23/2017
1811.84,0.354028,32.581699,5/23/2017
1871.62,0.350243,32.579414,5/23/2017
527.81,0.344665,32.576854,5/23/2017
2610.49,0.341042,32.575164,5/23/2017
995.05,0.337748,32.574787,5/23/2017
2074.47,0.334239,32.576698,5/23/2017
2624.81,0.331667,32.580001,5/23/2017
1346.84,0.3263,32.584854,5/23/2017
269.02,0.324626,32.586017,5/23/2017
2571.43,0.323873,32.586444,5/23/2017
2362.23,0.323908,32.586395,5/23/2017
198.96,0.323937,32.586418,5/23/2017
343.2,0.323937,32.586418,5/23/2017
4348.68,0.323896,32.586421,5/23/2017
2903.38,0.32393,32.586418,5/23/2017
1619.49,0.323906,32.58641,5/23/2017
2539.26,0.323909,32.586399,5/23/2017
5408.69,0.323931,32.586421,5/23/2017
3105.72,0.323939,32.586425,5/23/2017
